species,period,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PICO,Germination,0.2915,0.134,0.8045,1.8511,0.2121,3,-12.6906,33.3813,35.3209,5.8249,9
PICO,Survival_yr1,0.6123,0.5154,0.8307,6.3181,0.0226,3,-11.817,31.6339,33.2255,5.521,8
PICO,Survival_yr2,0.6655,0.5818,0.7289,7.9573,0.0125,3,-10.3791,28.7582,30.3498,4.2509,8
PICO,Survival_1to2,0.0501,-0.1874,1.477,0.2109,0.8142,3,-18.1469,44.2938,45.8854,17.4521,8
PICO,Establishment_yr1,0.5134,0.4052,0.6101,4.7474,0.0391,3,-9.3711,26.7422,28.6818,3.3497,9
PICO,Establishment_yr2,0.5023,0.3917,0.5984,4.5423,0.0433,3,-9.1399,26.2798,28.2194,3.2231,9
PSME,Germination,0.2865,0.1279,0.4046,1.8067,0.2189,3,-4.4426,16.8853,18.8249,1.4732,9
PSME,Survival_yr1,0.213,0.0381,1.3059,1.2176,0.3404,3,-18.504,45.0079,46.9476,15.3486,9
PSME,Survival_yr2,0.335,0.1872,1.1464,2.2671,0.1595,3,-16.9403,41.8805,43.8202,11.8273,9
PSME,Survival_1to2,0.2175,-0.0433,2.8067,0.8338,0.4791,3,-20.2339,48.4677,49.2566,47.2646,6
PSME,Establishment_yr1,0.3368,0.1894,0.4097,2.2851,0.1576,3,-4.5945,17.1891,19.1287,1.511,9
PSME,Establishment_yr2,0.3812,0.2436,0.6604,2.7717,0.1154,3,-10.3215,28.6429,30.5825,3.9246,9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
species,period,r.squared,df,statistic,p.value,,,,,,,
PICO,Germination,0.2915,3,1.8511,0.2121,,,,,,,
,Survival_yr1,0.6123,3,6.3181,0.0226,,,,,,,
,Survival_yr2,0.6655,3,7.9573,0.0125,,,,,,,
,Establishment_yr2,0.5023,3,4.5423,0.0433,,,,,,,
PSME,Germination,0.2865,3,1.8067,0.2189,,,,,,,
,Survival_yr1,0.213,3,1.2176,0.3404,,,,,,,
,Survival_yr2,0.335,3,2.2671,0.1595,,,,,,,
,Establishment_yr2,0.3812,3,2.7717,0.1154,,,,,,,