STATION,NAME,DATE,PRCP,TAVG
USC00486440,"Moran, WY",2018-06,71.2,11.5
USC00486440,"Moran, WY",2018-07,10.8,16.1
USC00486440,"Moran, WY",2018-08,45.1,14
USC00486440,"Moran, WY",2018-09,0,10
USC00486440,"Moran, WY",2019-06,17.5,10.3
USC00486440,"Moran, WY",2019-07,31.1,15.4
USC00486440,"Moran, WY",2019-08,22,14.9
USC00486440,"Moran, WY",2019-09,98.4,9.9
USS0011E07S,"West Yellowstone, MT ",2018-06,63.4,11.5
USS0011E07S,"West Yellowstone, MT ",2018-07,10.1,16.1
USS0011E07S,"West Yellowstone, MT ",2018-08,27.8,14.2
USS0011E07S,"West Yellowstone, MT ",2018-09,2.5,10
USS0011E07S,"West Yellowstone, MT ",2019-06,50.6,10.9
USS0011E07S,"West Yellowstone, MT ",2019-07,30.4,15.6
USS0011E07S,"West Yellowstone, MT ",2019-08,7.6,14.7
USS0011E07S,"West Yellowstone, MT ",2019-09,48.1,9.5