STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00489025,Tower Falls,2018-06,,0,0,,0,0,,,,78.7,0,,,
USC00489025,Tower Falls,2018-07,,0,0,-0.6,0,0,1.5,30,78.9,3.1,0,15.9,27.1,4.7
USC00489025,Tower Falls,2018-08,,0,0,-1.1,0,0,8.6,34.4,205.9,39.2,0,14.4,25.2,3.5
USC00489025,Tower Falls,2018-09,,0,0,-7.2,0,0,3,27.8,443,8.1,0,10.4,21.1,-0.2
USC00486440,"Moran, WY",2018-06,0,0,0,-1.7,0,0,26.2,26.1,5718.1,71.2,0,11.5,19.1,4
USC00486440,"Moran, WY",2018-07,2.8,0,0,0,0,0,5.6,29.4,71.4,10.8,0,16.1,26,6.2
USC00486440,"Moran, WY",2018-08,3.6,0,0,-0.6,0,0,23.9,31.7,205.6,45.1,0,14,23.9,4.1
USC00486440,"Moran, WY",2018-09,3.6,0,0,-5,0,0,0,25.6,454.6,0,0,10,20.5,-0.4
USS0011E07S,West Yellowstone,2018-06,,0,,-4.4,0,,15.2,27.3,,63.4,,11.5,20.3,2.7
USS0011E07S,West Yellowstone,2018-07,,0,,-1.1,0,,7.6,31.4,70.6,10.1,,16.1,27.8,4.5
USS0011E07S,West Yellowstone,2018-08,,0,,-1.4,0,,17.8,35.1,202.4,27.8,,14.2,25.7,2.6
USS0011E07S,West Yellowstone,2018-09,,0,,-7.3,0,,2.5,28.5,452.1,2.5,,10,21.3,-1.2